Club,Temporada,Competición,Partidos,lleno,espectadores,promedio
Defensa y Justicia,25/26,Torneo Apertura,6,0,0.0,0.0
Defensa y Justicia,24/25,Torneo Apertura,16,0,0.0,0.0
Defensa y Justicia,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,0,228.215,11.411
Defensa y Justicia,22/23,Liga Profesional de Fútbol (- 23/24),21,0,49.4,16.467
Defensa y Justicia,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,8.55,8.55
Defensa y Justicia,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,51.0,8.5
Defensa y Justicia,19/20,Superliga Argentina,15,0,3.5,3.5
Defensa y Justicia,18/19,Superliga Argentina,12,0,85.0,7.727
Defensa y Justicia,17/18,Superliga Argentina,14,0,13.0,6.5
Defensa y Justicia,16/17,Primera División,15,0,10.0,10.0
Defensa y Justicia,15/16,Primera División,8,0,46.09,6.584
Defensa y Justicia,14/15,Torneo de Transición,24,0,87.0,8.7
Defensa y Justicia,13/14,Primera B Nacional,5,0,17.0,5.667
Defensa y Justicia,12/13,Primera B Nacional,19,0,108.5,5.711
Defensa y Justicia,11/12,Primera B Nacional,19,0,60.5,4.654
Defensa y Justicia,10/11,Primera B Nacional,17,0,850.0,850.0
Defensa y Justicia,09/10,Primera B Nacional,19,0,0.0,0.0
Defensa y Justicia,08/09,Primera B Nacional,2,0,0.0,0.0
Rosario Central,25/26,Torneo Apertura,5,0,0.0,0.0
Rosario Central,24/25,Torneo Apertura,16,0,0.0,0.0
Rosario Central,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),19,12,763.95,40.208
Rosario Central,22/23,Liga Profesional de Fútbol (- 23/24),22,1,416.54,41.654
Rosario Central,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,0.0,0.0
Rosario Central,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,2,188.308,31.385
Rosario Central,19/20,Superliga Argentina,14,0,0.0,0.0
Rosario Central,18/19,Superliga Argentina,13,0,385.0,32.083
Rosario Central,17/18,Superliga Argentina,13,0,92.5,30.833
Rosario Central,16/17,Primera División,15,0,70.0,35.0
Rosario Central,15/16,Primera División,8,1,191.654,38.331
Rosario Central,14/15,Torneo de Transición,24,0,385.8,38.58
Rosario Central,13/14,Torneo Inicial,19,2,701.308,38.962
Rosario Central,12/13,Primera B Nacional,9,0,286.75,35.844
Rosario Central,11/12,Primera B Nacional,19,2,441.474,40.134
Rosario Central,10/11,Primera B Nacional,18,0,138.2,34.55
Rosario Central,09/10,Torneo Apertura,19,1,640.154,33.692
Rosario Central,08/09,Torneo Apertura,19,0,667.0,35.105
Rosario Central,07/08,Torneo Apertura,19,0,594.0,31.263
Rosario Central,06/07,Torneo Apertura,19,0,493.0,30.813
Rosario Central,05/06,Torneo Apertura,19,0,444.0,23.368
Rosario Central,04/05,Torneo Clausura,19,0,330.0,33.0
Rosario Central,03/04,Torneo Clausura,19,0,294.0,26.727
Rosario Central,02/03,Torneo Apertura,19,0,516.5,28.694
Rosario Central,01/02,Torneo Apertura,19,0,240.25,14.132
Rosario Central,00/01,Torneo Apertura,19,0,0.0,0.0
Rosario Central,99/00,Torneo Clausura,19,0,85.755,6.125
Rosario Central,98/99,Torneo Apertura,4,0,5.765,5.765
Rosario Central,97/98,Torneo Apertura,1,0,0.0,0.0
Rosario Central,89/90,Primera División,1,0,0.0,0.0
