torneo,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,Valor_Local_USD_M,Valor_Visitante_USD_M,resultado
Campeonato 2016/17,3,Rosario Central,Arsenal de Sarandi,5,0,,,,,,,,,,,,,,,49.075,14.25,L
Campeonato 2016/17,4,Aldosivi,Talleres,2,1,,,,,,,,,,,,,,,11.325,23.35,L
Campeonato 2016/17,5,Temperley,Newells,0,0,,,,,,,,,,,,,,,13.35,28.075,E
Campeonato 2016/17,6,Racing Club,Patronato,2,0,,,,,,,,,,,,,,,66.525,8.375,L
Campeonato 2016/17,7,River Plate,Velez Sarsfield,3,0,,,,,,,,,,,,,,,98.75,33.0,L
Campeonato 2016/17,8,San Lorenzo de Almagro,Atletico de Rafaela,2,1,,,,,,,,,,,,,,,61.575,11.85,L
Campeonato 2016/17,9,Belgrano,Lanus,1,1,,,,,,,,,,,,,,,21.525,42.7,E
Campeonato 2016/17,10,Gimnasia y Esgrima La Plata,Estudiantes de La Plata,0,0,,,,,,,,,,,,,,,23.875,49.475,E
Campeonato 2016/17,11,Banfield,San Martin (San Juan),3,2,,,,,,,,,,,,,,,20.025,11.95,L
Campeonato 2016/17,12,Colon,Defensa y Justicia,1,0,,,,,,,,,,,,,,,23.9,25.75,L
Campeonato 2016/17,13,Sarmiento,Independiente,0,1,,,,,,,,,,,,,,,17.2,51.55,V
Campeonato 2016/17,14,Tigre,Boca Juniors,1,1,,,,,,,,,,,,,,,19.3,98.875,E
Campeonato 2016/17,15,Atl Tucuman,Huracan,0,2,,,,,,,,,,,,,,,23.725,27.575,V
Campeonato 2016/17,1,Defensa y Justicia,Banfield,1,0,,,,,,,,,,,,,,,25.75,20.025,L
Campeonato 2016/17,2,Belgrano,Aldosivi,0,0,,,,,,,,,,,,,,,21.525,11.325,E
Campeonato 2016/17,3,Velez Sarsfield,Colon,2,1,,,,,,,,,,,,,,,33.0,23.9,L
Campeonato 2016/17,4,Huracan,Temperley,1,2,,,,,,,,,,,,,,,27.575,13.35,V
Campeonato 2016/17,5,Atletico de Rafaela,Racing Club,3,2,,,,,,,,,,,,,,,11.85,66.525,L
Campeonato 2016/17,6,Estudiantes de La Plata,Rosario Central,3,2,,,,,,,,,,,,,,,49.475,49.075,L
Campeonato 2016/17,7,San Martin (San Juan),Talleres,1,3,,,,,,,,,,,,,,,11.95,23.35,V
Campeonato 2016/17,8,Independiente,Atl Tucuman,0,2,,,,,,,,,,,,,,,51.55,23.725,V
Campeonato 2016/17,9,Lanus,Godoy Cruz,3,0,,,,,,,,,,,,,,,42.7,23.35,L
Campeonato 2016/17,10,Boca Juniors,Sarmiento,2,0,,,,,,,,,,,,,,,98.875,17.2,L
Campeonato 2016/17,11,Olimpo,Tigre,1,4,,,,,,,,,,,,,,,14.925,19.3,V
Campeonato 2016/17,12,Newells,Gimnasia y Esgrima La Plata,1,0,,,,,,,,,,,,,,,28.075,23.875,L
Campeonato 2016/17,13,Arsenal de Sarandi,San Lorenzo de Almagro,1,3,,,,,,,,,,,,,,,14.25,61.575,V
Campeonato 2016/17,14,Patronato,River Plate,2,1,,,,,,,,,,,,,,,8.375,98.75,L
Campeonato 2016/17,15,Union,Quilmes,1,1,,,,,,,,,,,,,,,20.525,9.8,E
Campeonato 2016/17,1,Sarmiento,Olimpo,1,1,,,,,,,,,,,,,,,17.2,14.925,E
Campeonato 2016/17,2,Talleres,Defensa y Justicia,2,0,,,,,,,,,,,,,,,23.35,25.75,L
Campeonato 2016/17,3,Quilmes,Lanus,1,0,,,,,,,,,,,,,,,9.8,42.7,L
Campeonato 2016/17,4,Godoy Cruz,Belgrano,2,0,,,,,,,,,,,,,,,23.35,21.525,L
Campeonato 2016/17,5,Temperley,Independiente,0,1,,,,,,,,,,,,,,,13.35,51.55,V
Campeonato 2016/17,6,Colon,Patronato,0,1,,,,,,,,,,,,,,,23.9,8.375,V
Campeonato 2016/17,7,Racing Club,Arsenal de Sarandi,1,0,,,,,,,,,,,,,,,66.525,14.25,L
Campeonato 2016/17,8,River Plate,Atletico de Rafaela,1,0,,,,,,,,,,,,,,,98.75,11.85,L
Campeonato 2016/17,9,Gimnasia y Esgrima La Plata,Huracan,1,0,,,,,,,,,,,,,,,23.875,27.575,L
Campeonato 2016/17,10,Banfield,Velez Sarsfield,1,0,,,,,,,,,,,,,,,20.025,33.0,L
Campeonato 2016/17,11,Tigre,Union,3,1,,,,,,,,,,,,,,,19.3,20.525,L
Campeonato 2016/17,12,Rosario Central,Newells,0,1,,,,,,,,,,,,,,,49.075,28.075,V
Campeonato 2016/17,13,San Lorenzo de Almagro,Estudiantes de La Plata,1,2,,,,,,,,,,,,,,,61.575,49.475,V
Campeonato 2016/17,14,Atl Tucuman,Boca Juniors,2,2,,,,,,,,,,,,,,,23.725,98.875,E
Campeonato 2016/17,15,Aldosivi,San Martin (San Juan),1,2,,,,,,,,,,,,,,,11.325,11.95,V
Campeonato 2016/17,1,Olimpo,Atl Tucuman,2,1,,,,,,,,,,,,,,,14.925,23.725,L
Campeonato 2016/17,2,Patronato,Banfield,2,0,,,,,,,,,,,,,,,8.375,20.025,L
Campeonato 2016/17,3,Velez Sarsfield,Talleres,0,2,,,,,,,,,,,,,,,33.0,23.35,V
Campeonato 2016/17,4,Boca Juniors,Temperley,4,0,,,,,,,,,,,,,,,98.875,13.35,L
Campeonato 2016/17,5,Belgrano,Quilmes,0,0,,,,,,,,,,,,,,,21.525,9.8,E
Campeonato 2016/17,6,Independiente,Gimnasia y Esgrima La Plata,0,0,,,,,,,,,,,,,,,51.55,23.875,E
Campeonato 2016/17,7,Huracan,Rosario Central,1,1,,,,,,,,,,,,,,,27.575,49.075,E
Campeonato 2016/17,8,Estudiantes de La Plata,Racing Club,2,1,,,,,,,,,,,,,,,49.475,66.525,L
Campeonato 2016/17,9,Lanus,Tigre,1,1,,,,,,,,,,,,,,,42.7,19.3,E
Campeonato 2016/17,10,Godoy Cruz,Aldosivi,3,1,,,,,,,,,,,,,,,23.35,11.325,L
Campeonato 2016/17,11,Newells,San Lorenzo de Almagro,2,2,,,,,,,,,,,,,,,28.075,61.575,E
Campeonato 2016/17,12,Atletico de Rafaela,Colon,0,2,,,,,,,,,,,,,,,11.85,23.9,V
Campeonato 2016/17,13,Arsenal de Sarandi,River Plate,2,2,,,,,,,,,,,,,,,14.25,98.75,E
Campeonato 2016/17,14,Defensa y Justicia,San Martin (San Juan),0,0,,,,,,,,,,,,,,,25.75,11.95,E
Campeonato 2016/17,15,Union,Sarmiento,1,0,,,,,,,,,,,,,,,20.525,17.2,L
Campeonato 2016/17,1,Temperley,Olimpo,0,0,,,,,,,,,,,,,,,13.35,14.925,E
Campeonato 2016/17,2,Quilmes,Godoy Cruz,1,0,,,,,,,,,,,,,,,9.8,23.35,L
Campeonato 2016/17,3,River Plate,Estudiantes de La Plata,1,1,,,,,,,,,,,,,,,98.75,49.475,E
Campeonato 2016/17,4,Sarmiento,Lanus,1,2,,,,,,,,,,,,,,,17.2,42.7,V
Campeonato 2016/17,5,Colon,Arsenal de Sarandi,1,0,,,,,,,,,,,,,,,23.9,14.25,L
Campeonato 2016/17,6,Racing Club,Newells,2,1,,,,,,,,,,,,,,,66.525,28.075,L
Campeonato 2016/17,7,San Martin (San Juan),Velez Sarsfield,2,0,,,,,,,,,,,,,,,11.95,33.0,L
Campeonato 2016/17,8,Banfield,Atletico de Rafaela,1,1,,,,,,,,,,,,,,,20.025,11.85,E
Campeonato 2016/17,9,San Lorenzo de Almagro,Huracan,2,0,,,,,,,,,,,,,,,61.575,27.575,L
Campeonato 2016/17,10,Tigre,Belgrano,2,1,,,,,,,,,,,,,,,19.3,21.525,L
Campeonato 2016/17,11,Talleres,Patronato,1,0,,,,,,,,,,,,,,,23.35,8.375,L
Campeonato 2016/17,12,Rosario Central,Independiente,0,0,,,,,,,,,,,,,,,49.075,51.55,E
Campeonato 2016/17,13,Gimnasia y Esgrima La Plata,Boca Juniors,0,3,,,,,,,,,,,,,,,23.875,98.875,V
Campeonato 2016/17,14,Aldosivi,Defensa y Justicia,0,0,,,,,,,,,,,,,,,11.325,25.75,E
Campeonato 2016/17,15,Atl Tucuman,Union,1,1,,,,,,,,,,,,,,,23.725,20.525,E
Campeonato 2016/17,1,Velez Sarsfield,Defensa y Justicia,2,1,,,,,,,,,,,,,,,33.0,25.75,L
Campeonato 2016/17,2,Arsenal de Sarandi,Banfield,1,3,,,,,,,,,,,,,,,14.25,20.025,V
Campeonato 2016/17,3,Estudiantes de La Plata,Colon,1,0,,,,,,,,,,,,,,,49.475,23.9,L
Campeonato 2016/17,4,Union,Temperley,2,1,,,,,,,,,,,,,,,20.525,13.35,L
Campeonato 2016/17,5,Godoy Cruz,Tigre,2,1,,,,,,,,,,,,,,,23.35,19.3,L
Campeonato 2016/17,6,Lanus,Atl Tucuman,1,0,,,,,,,,,,,,,,,42.7,23.725,L
Campeonato 2016/17,7,Huracan,Racing Club,1,1,,,,,,,,,,,,,,,27.575,66.525,E
Campeonato 2016/17,8,Quilmes,Aldosivi,1,0,,,,,,,,,,,,,,,9.8,11.325,L
Campeonato 2016/17,9,Independiente,San Lorenzo de Almagro,1,2,,,,,,,,,,,,,,,51.55,61.575,V
Campeonato 2016/17,10,Belgrano,Sarmiento,1,2,,,,,,,,,,,,,,,21.525,17.2,V
Campeonato 2016/17,11,Boca Juniors,Rosario Central,1,1,,,,,,,,,,,,,,,98.875,49.075,E
Campeonato 2016/17,12,Atletico de Rafaela,Talleres,0,1,,,,,,,,,,,,,,,11.85,23.35,V
Campeonato 2016/17,13,Newells,River Plate,1,0,,,,,,,,,,,,,,,28.075,98.75,L
Campeonato 2016/17,14,Olimpo,Gimnasia y Esgrima La Plata,0,0,,,,,,,,,,,,,,,14.925,23.875,E
Campeonato 2016/17,15,Patronato,San Martin (San Juan),3,0,,,,,,,,,,,,,,,8.375,11.95,L
Campeonato 2016/17,1,Temperley,Lanus,1,3,,,,,,,,,,,,,,,13.35,42.7,V
Campeonato 2016/17,2,Talleres,Arsenal de Sarandi,0,0,,,,,,,,,,,,,,,23.35,14.25,E
Campeonato 2016/17,3,Tigre,Quilmes,3,0,,,,,,,,,,,,,,,19.3,9.8,L
Campeonato 2016/17,4,Colon,Newells,1,2,,,,,,,,,,,,,,,23.9,28.075,V
Campeonato 2016/17,5,Banfield,Estudiantes de La Plata,3,2,,,,,,,,,,,,,,,20.025,49.475,L
Campeonato 2016/17,6,Atl Tucuman,Belgrano,0,0,,,,,,,,,,,,,,,23.725,21.525,E
Campeonato 2016/17,7,Rosario Central,Olimpo,1,1,,,,,,,,,,,,,,,49.075,14.925,E
Campeonato 2016/17,8,Aldosivi,Velez Sarsfield,0,0,,,,,,,,,,,,,,,11.325,33.0,E
Campeonato 2016/17,9,River Plate,Huracan,1,0,,,,,,,,,,,,,,,98.75,27.575,L
Campeonato 2016/17,10,Sarmiento,Godoy Cruz,2,2,,,,,,,,,,,,,,,17.2,23.35,E
Campeonato 2016/17,11,San Lorenzo de Almagro,Boca Juniors,1,2,,,,,,,,,,,,,,,61.575,98.875,V
Campeonato 2016/17,12,Racing Club,Independiente,3,0,,,,,,,,,,,,,,,66.525,51.55,L
Campeonato 2016/17,13,Defensa y Justicia,Patronato,1,2,,,,,,,,,,,,,,,25.75,8.375,V
Campeonato 2016/17,14,Gimnasia y Esgrima La Plata,Union,1,1,,,,,,,,,,,,,,,23.875,20.525,E
Campeonato 2016/17,15,San Martin (San Juan),Atletico de Rafaela,0,3,,,,,,,,,,,,,,,11.95,11.85,V
Campeonato 2016/17,1,Quilmes,Sarmiento,1,3,,,,,,,,,,,,,,,9.8,17.2,V
Campeonato 2016/17,2,Huracan,Colon,1,3,,,,,,,,,,,,,,,27.575,23.9,V
Campeonato 2016/17,3,Atletico de Rafaela,Defensa y Justicia,0,1,,,,,,,,,,,,,,,11.85,25.75,V
Campeonato 2016/17,4,Tigre,Aldosivi,1,1,,,,,,,,,,,,,,,19.3,11.325,E
Campeonato 2016/17,5,Newells,Banfield,0,2,,,,,,,,,,,,,,,28.075,20.025,V
Campeonato 2016/17,6,Godoy Cruz,Atl Tucuman,1,2,,,,,,,,,,,,,,,23.35,23.725,V
Campeonato 2016/17,7,Olimpo,San Lorenzo de Almagro,1,2,,,,,,,,,,,,,,,14.925,61.575,V
Campeonato 2016/17,8,Union,Rosario Central,2,0,,,,,,,,,,,,,,,20.525,49.075,L
Campeonato 2016/17,9,Estudiantes de La Plata,Talleres,0,0,,,,,,,,,,,,,,,49.475,23.35,E
Campeonato 2016/17,10,Patronato,Velez Sarsfield,0,0,,,,,,,,,,,,,,,8.375,33.0,E
Campeonato 2016/17,11,Boca Juniors,Racing Club,4,2,,,,,,,,,,,,,,,98.875,66.525,L
Campeonato 2016/17,12,Belgrano,Temperley,0,0,,,,,,,,,,,,,,,21.525,13.35,E
Campeonato 2016/17,13,Independiente,River Plate,1,0,,,,,,,,,,,,,,,51.55,98.75,L
Campeonato 2016/17,14,Arsenal de Sarandi,San Martin (San Juan),0,0,,,,,,,,,,,,,,,14.25,11.95,E
Campeonato 2016/17,15,Lanus,Gimnasia y Esgrima La Plata,1,0,,,,,,,,,,,,,,,42.7,23.875,L
Campeonato 2016/17,1,Aldosivi,Patronato,1,1,,,,,,,,,,,,,,,11.325,8.375,E
Campeonato 2016/17,2,Sarmiento,Tigre,2,0,,,,,,,,,,,,,,,17.2,19.3,L
Campeonato 2016/17,3,Temperley,Godoy Cruz,1,0,,,,,,,,,,,,,,,13.35,23.35,L
Campeonato 2016/17,4,San Lorenzo de Almagro,Union,3,2,,,,,,,,,,,,,,,61.575,20.525,L
Campeonato 2016/17,5,Velez Sarsfield,Atletico de Rafaela,2,0,,,,,,,,,,,,,,,33.0,11.85,L
Campeonato 2016/17,6,Talleres,Newells,1,1,,,,,,,,,,,,,,,23.35,28.075,E
Campeonato 2016/17,7,Gimnasia y Esgrima La Plata,Belgrano,1,1,,,,,,,,,,,,,,,23.875,21.525,E
Campeonato 2016/17,8,Racing Club,Olimpo,0,2,,,,,,,,,,,,,,,66.525,14.925,V
Campeonato 2016/17,9,River Plate,Boca Juniors,2,4,,,,,,,,,,,,,,,98.75,98.875,V
Campeonato 2016/17,10,Banfield,Huracan,1,0,,,,,,,,,,,,,,,20.025,27.575,L
Campeonato 2016/17,11,San Martin (San Juan),Estudiantes de La Plata,3,2,,,,,,,,,,,,,,,11.95,49.475,L
Campeonato 2016/17,12,Colon,Independiente,0,2,,,,,,,,,,,,,,,23.9,51.55,V
Campeonato 2016/17,13,Rosario Central,Lanus,1,2,,,,,,,,,,,,,,,49.075,42.7,V
Campeonato 2016/17,14,Atl Tucuman,Quilmes,3,0,,,,,,,,,,,,,,,23.725,9.8,L
Campeonato 2016/17,15,Defensa y Justicia,Arsenal de Sarandi,2,0,,,,,,,,,,,,,,,25.75,14.25,L
Campeonato 2016/17,1,Huracan,Talleres,1,0,,,,,,,,,,,,,,,27.575,23.35,L
Campeonato 2016/17,2,Godoy Cruz,Gimnasia y Esgrima La Plata,0,3,,,,,,,,,,,,,,,23.35,23.875,V
Campeonato 2016/17,3,Estudiantes de La Plata,Defensa y Justicia,1,2,,,,,,,,,,,,,,,49.475,25.75,V
Campeonato 2016/17,4,Sarmiento,Aldosivi,0,2,,,,,,,,,,,,,,,17.2,11.325,V
Campeonato 2016/17,5,Union,Racing Club,1,0,,,,,,,,,,,,,,,20.525,66.525,L
Campeonato 2016/17,6,Atletico de Rafaela,Patronato,3,0,,,,,,,,,,,,,,,11.85,8.375,L
Campeonato 2016/17,7,Independiente,Banfield,0,1,,,,,,,,,,,,,,,51.55,20.025,V
Campeonato 2016/17,8,Belgrano,Rosario Central,0,2,,,,,,,,,,,,,,,21.525,49.075,V
Campeonato 2016/17,9,Lanus,San Lorenzo de Almagro,2,2,,,,,,,,,,,,,,,42.7,61.575,E
Campeonato 2016/17,10,Arsenal de Sarandi,Velez Sarsfield,2,1,,,,,,,,,,,,,,,14.25,33.0,L
Campeonato 2016/17,11,Boca Juniors,Colon,4,1,,,,,,,,,,,,,,,98.875,23.9,L
Campeonato 2016/17,12,Newells,San Martin (San Juan),6,1,,,,,,,,,,,,,,,28.075,11.95,L
Campeonato 2016/17,13,Olimpo,River Plate,1,2,,,,,,,,,,,,,,,14.925,98.75,V
Campeonato 2016/17,14,Quilmes,Temperley,1,0,,,,,,,,,,,,,,,9.8,13.35,L
Campeonato 2016/17,15,Tigre,Atl Tucuman,0,0,,,,,,,,,,,,,,,19.3,23.725,E
Campeonato 2016/17,1,Velez Sarsfield,Estudiantes de La Plata,3,2,,,,,,,,,,,,,,,33.0,49.475,L
Campeonato 2016/17,2,Patronato,Arsenal de Sarandi,4,2,,,,,,,,,,,,,,,8.375,14.25,L
Campeonato 2016/17,3,Defensa y Justicia,Newells,1,0,,,,,,,,,,,,,,,25.75,28.075,L
Campeonato 2016/17,4,San Lorenzo de Almagro,Belgrano,2,1,,,,,,,,,,,,,,,61.575,21.525,L
Campeonato 2016/17,5,Banfield,Boca Juniors,0,2,,,,,,,,,,,,,,,20.025,98.875,V
Campeonato 2016/17,6,San Martin (San Juan),Huracan,0,1,,,,,,,,,,,,,,,11.95,27.575,V
Campeonato 2016/17,7,Racing Club,Lanus,3,0,,,,,,,,,,,,,,,66.525,42.7,L
Campeonato 2016/17,8,Temperley,Tigre,3,1,,,,,,,,,,,,,,,13.35,19.3,L
Campeonato 2016/17,9,Gimnasia y Esgrima La Plata,Quilmes,3,1,,,,,,,,,,,,,,,23.875,9.8,L
Campeonato 2016/17,10,River Plate,Union,0,0,,,,,,,,,,,,,,,98.75,20.525,E
Campeonato 2016/17,11,Rosario Central,Godoy Cruz,0,1,,,,,,,,,,,,,,,49.075,23.35,V
Campeonato 2016/17,12,Atl Tucuman,Sarmiento,2,1,,,,,,,,,,,,,,,23.725,17.2,L
Campeonato 2016/17,13,Aldosivi,Atletico de Rafaela,1,0,,,,,,,,,,,,,,,11.325,11.85,L
Campeonato 2016/17,14,Colon,Olimpo,1,1,,,,,,,,,,,,,,,23.9,14.925,E
Campeonato 2016/17,15,Talleres,Independiente,0,2,,,,,,,,,,,,,,,23.35,51.55,V
Campeonato 2016/17,1,Quilmes,Rosario Central,0,1,,,,,,,,,,,,,,,9.8,49.075,V
Campeonato 2016/17,2,Union,Colon,0,2,,,,,,,,,,,,,,,20.525,23.9,V
Campeonato 2016/17,3,Newells,Velez Sarsfield,3,0,,,,,,,,,,,,,,,28.075,33.0,L
Campeonato 2016/17,4,Tigre,Gimnasia y Esgrima La Plata,0,1,,,,,,,,,,,,,,,19.3,23.875,V
Campeonato 2016/17,5,Independiente,San Martin (San Juan),0,0,,,,,,,,,,,,,,,51.55,11.95,E
Campeonato 2016/17,6,Huracan,Defensa y Justicia,2,0,,,,,,,,,,,,,,,27.575,25.75,L
Campeonato 2016/17,7,Belgrano,Racing Club,2,0,,,,,,,,,,,,,,,21.525,66.525,L
Campeonato 2016/17,8,Sarmiento,Temperley,2,1,,,,,,,,,,,,,,,17.2,13.35,L
Campeonato 2016/17,9,Godoy Cruz,San Lorenzo de Almagro,2,0,,,,,,,,,,,,,,,23.35,61.575,L
Campeonato 2016/17,10,Estudiantes de La Plata,Patronato,1,0,,,,,,,,,,,,,,,49.475,8.375,L
Campeonato 2016/17,11,Olimpo,Banfield,1,0,,,,,,,,,,,,,,,14.925,20.025,L
Campeonato 2016/17,12,Boca Juniors,Talleres,1,2,,,,,,,,,,,,,,,98.875,23.35,V
Campeonato 2016/17,13,Arsenal de Sarandi,Atletico de Rafaela,1,2,,,,,,,,,,,,,,,14.25,11.85,V
Campeonato 2016/17,14,Atl Tucuman,Aldosivi,0,0,,,,,,,,,,,,,,,23.725,11.325,E
Campeonato 2016/17,15,Lanus,River Plate,1,3,,,,,,,,,,,,,,,42.7,98.75,V
Campeonato 2016/17,1,Patronato,Newells,1,1,,,,,,,,,,,,,,,8.375,28.075,E
Campeonato 2016/17,2,Banfield,Union,3,1,,,,,,,,,,,,,,,20.025,20.525,L
Campeonato 2016/17,3,Rosario Central,Tigre,1,0,,,,,,,,,,,,,,,49.075,19.3,L
Campeonato 2016/17,4,San Lorenzo de Almagro,Quilmes,3,0,,,,,,,,,,,,,,,61.575,9.8,L
Campeonato 2016/17,5,Gimnasia y Esgrima La Plata,Sarmiento,1,0,,,,,,,,,,,,,,,23.875,17.2,L
Campeonato 2016/17,6,Racing Club,Godoy Cruz,2,1,,,,,,,,,,,,,,,66.525,23.35,L
Campeonato 2016/17,7,Atletico de Rafaela,Estudiantes de La Plata,2,2,,,,,,,,,,,,,,,11.85,49.475,E
Campeonato 2016/17,8,Colon,Lanus,1,0,,,,,,,,,,,,,,,23.9,42.7,L
Campeonato 2016/17,9,San Martin (San Juan),Boca Juniors,1,2,,,,,,,,,,,,,,,11.95,98.875,V
Campeonato 2016/17,10,Temperley,Atl Tucuman,2,2,,,,,,,,,,,,,,,13.35,23.725,E
Campeonato 2016/17,11,River Plate,Belgrano,2,1,,,,,,,,,,,,,,,98.75,21.525,L
Campeonato 2016/17,12,Aldosivi,Arsenal de Sarandi,2,1,,,,,,,,,,,,,,,11.325,14.25,L
Campeonato 2016/17,13,Velez Sarsfield,Huracan,1,1,,,,,,,,,,,,,,,33.0,27.575,E
Campeonato 2016/17,14,Talleres,Olimpo,1,0,,,,,,,,,,,,,,,23.35,14.925,L
Campeonato 2016/17,15,Defensa y Justicia,Independiente,1,2,,,,,,,,,,,,,,,25.75,51.55,V
Campeonato 2016/17,1,Atl Tucuman,Gimnasia y Esgrima La Plata,0,1,,,,,,,,,,,,,,,23.725,23.875,V
Campeonato 2016/17,2,Independiente,Velez Sarsfield,1,1,,,,,,,,,,,,,,,51.55,33.0,E
Campeonato 2016/17,3,Newells,Atletico de Rafaela,1,0,,,,,,,,,,,,,,,28.075,11.85,L
Campeonato 2016/17,4,Temperley,Aldosivi,1,0,,,,,,,,,,,,,,,13.35,11.325,L
Campeonato 2016/17,5,Quilmes,Racing Club,2,3,,,,,,,,,,,,,,,9.8,66.525,V
Campeonato 2016/17,6,Belgrano,Colon,0,1,,,,,,,,,,,,,,,21.525,23.9,V
Campeonato 2016/17,7,Boca Juniors,Defensa y Justicia,1,0,,,,,,,,,,,,,,,98.875,25.75,L
Campeonato 2016/17,8,Estudiantes de La Plata,Arsenal de Sarandi,2,0,,,,,,,,,,,,,,,49.475,14.25,L
Campeonato 2016/17,9,Lanus,Banfield,4,2,,,,,,,,,,,,,,,42.7,20.025,L
Campeonato 2016/17,10,Sarmiento,Rosario Central,2,2,,,,,,,,,,,,,,,17.2,49.075,E
Campeonato 2016/17,11,Tigre,San Lorenzo de Almagro,4,3,,,,,,,,,,,,,,,19.3,61.575,L
Campeonato 2016/17,12,Huracan,Patronato,0,0,,,,,,,,,,,,,,,27.575,8.375,E
Campeonato 2016/17,13,Godoy Cruz,River Plate,1,2,,,,,,,,,,,,,,,23.35,98.75,V
Campeonato 2016/17,14,Olimpo,San Martin (San Juan),0,0,,,,,,,,,,,,,,,14.925,11.95,E
Campeonato 2016/17,15,Union,Talleres,4,2,,,,,,,,,,,,,,,20.525,23.35,L
Campeonato 2016/17,1,Aldosivi,Estudiantes de La Plata,1,4,,,,,,,,,,,,,,,11.325,49.475,V
Campeonato 2016/17,2,Colon,Godoy Cruz,1,0,,,,,,,,,,,,,,,23.9,23.35,L
Campeonato 2016/17,3,Rosario Central,Atl Tucuman,2,1,,,,,,,,,,,,,,,49.075,23.725,L
Campeonato 2016/17,4,Arsenal de Sarandi,Newells,0,1,,,,,,,,,,,,,,,14.25,28.075,V
Campeonato 2016/17,5,San Lorenzo de Almagro,Sarmiento,1,0,,,,,,,,,,,,,,,61.575,17.2,L
Campeonato 2016/17,6,Atletico de Rafaela,Huracan,1,1,,,,,,,,,,,,,,,11.85,27.575,E
Campeonato 2016/17,7,Talleres,Lanus,3,1,,,,,,,,,,,,,,,23.35,42.7,L
Campeonato 2016/17,8,Banfield,Belgrano,2,0,,,,,,,,,,,,,,,20.025,21.525,L
Campeonato 2016/17,9,Patronato,Independiente,0,5,,,,,,,,,,,,,,,8.375,51.55,V
Campeonato 2016/17,10,San Martin (San Juan),Union,0,0,,,,,,,,,,,,,,,11.95,20.525,E
Campeonato 2016/17,11,River Plate,Quilmes,2,0,,,,,,,,,,,,,,,98.75,9.8,L
Campeonato 2016/17,12,Velez Sarsfield,Boca Juniors,1,3,,,,,,,,,,,,,,,33.0,98.875,V
Campeonato 2016/17,13,Defensa y Justicia,Olimpo,1,1,,,,,,,,,,,,,,,25.75,14.925,E
Campeonato 2016/17,14,Gimnasia y Esgrima La Plata,Temperley,1,1,,,,,,,,,,,,,,,23.875,13.35,E
Campeonato 2016/17,15,Racing Club,Tigre,4,1,,,,,,,,,,,,,,,66.525,19.3,L
Campeonato 2016/17,1,Huracan,Arsenal de Sarandi,1,2,,,,,,,,,,,,,,,27.575,14.25,V
Campeonato 2016/17,2,Lanus,San Martin (San Juan),0,0,,,,,,,,,,,,,,,42.7,11.95,E
Campeonato 2016/17,3,Newells,Estudiantes de La Plata,0,0,,,,,,,,,,,,,,,28.075,49.475,E
Campeonato 2016/17,4,Belgrano,Talleres,1,1,,,,,,,,,,,,,,,21.525,23.35,E
Campeonato 2016/17,5,Independiente,Atletico de Rafaela,1,1,,,,,,,,,,,,,,,51.55,11.85,E
Campeonato 2016/17,6,Olimpo,Velez Sarsfield,0,1,,,,,,,,,,,,,,,14.925,33.0,V
Campeonato 2016/17,7,Sarmiento,Racing Club,1,2,,,,,,,,,,,,,,,17.2,66.525,V
Campeonato 2016/17,8,Godoy Cruz,Banfield,3,1,,,,,,,,,,,,,,,23.35,20.025,L
Campeonato 2016/17,9,Atl Tucuman,San Lorenzo de Almagro,1,0,,,,,,,,,,,,,,,23.725,61.575,L
Campeonato 2016/17,10,Quilmes,Colon,0,1,,,,,,,,,,,,,,,9.8,23.9,V
Campeonato 2016/17,11,Boca Juniors,Patronato,1,1,,,,,,,,,,,,,,,98.875,8.375,E
Campeonato 2016/17,12,Tigre,River Plate,0,2,,,,,,,,,,,,,,,19.3,98.75,V
Campeonato 2016/17,13,Union,Defensa y Justicia,0,2,,,,,,,,,,,,,,,20.525,25.75,V
Campeonato 2016/17,14,Temperley,Rosario Central,1,2,,,,,,,,,,,,,,,13.35,49.075,V
Campeonato 2016/17,15,Gimnasia y Esgrima La Plata,Aldosivi,1,0,,,,,,,,,,,,,,,23.875,11.325,L
Campeonato 2016/17,1,San Lorenzo de Almagro,Temperley,0,1,,,,,,,,,,,,,,,61.575,13.35,V
Campeonato 2016/17,2,Aldosivi,Newells,0,3,,,,,,,,,,,,,,,11.325,28.075,V
Campeonato 2016/17,3,Racing Club,Atl Tucuman,4,3,,,,,,,,,,,,,,,66.525,23.725,L
Campeonato 2016/17,4,Defensa y Justicia,Lanus,1,0,,,,,,,,,,,,,,,25.75,42.7,L
Campeonato 2016/17,5,Banfield,Quilmes,2,0,,,,,,,,,,,,,,,20.025,9.8,L
Campeonato 2016/17,6,Velez Sarsfield,Union,2,1,,,,,,,,,,,,,,,33.0,20.525,L
Campeonato 2016/17,7,Rosario Central,Gimnasia y Esgrima La Plata,2,1,,,,,,,,,,,,,,,49.075,23.875,L
Campeonato 2016/17,8,Estudiantes de La Plata,Huracan,1,1,,,,,,,,,,,,,,,49.475,27.575,E
Campeonato 2016/17,9,Atletico de Rafaela,Boca Juniors,0,0,,,,,,,,,,,,,,,11.85,98.875,E
