torneo,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,Valor_Local_USD_M,Valor_Visitante_USD_M,resultado
Campeonato 2015,12,Union,Belgrano,1,1,,,,,,,,,,,,,,,7.95,13.975,E
Campeonato 2015,13,Arsenal de Sarandi,Quilmes,0,1,,,,,,,,,,,,,,,27.25,16.975,V
Campeonato 2015,14,Crucero del Norte,Colon,0,0,,,,,,,,,,,,,,,4.4,12.125,E
Campeonato 2015,15,Temperley,San Martin (San Juan),0,1,,,,,,,,,,,,,,,5.3,11.25,V
Campeonato 2015,1,Nueva Chicago,Rosario Central,0,2,,,,,,,,,,,,,,,8.15,18.35,V
Campeonato 2015,2,Lanus,Tigre,1,1,,,,,,,,,,,,,,,30.62,18.5,E
Campeonato 2015,3,Estudiantes de La Plata,Temperley,2,1,,,,,,,,,,,,,,,37.65,5.3,L
Campeonato 2015,4,Quilmes,Godoy Cruz,0,0,,,,,,,,,,,,,,,16.975,21.2,E
Campeonato 2015,5,Huracan,Olimpo,1,3,,,,,,,,,,,,,,,13.775,12.97,V
Campeonato 2015,6,Union,Crucero del Norte,5,2,,,,,,,,,,,,,,,7.95,4.4,L
Campeonato 2015,7,Newells,San Lorenzo de Almagro,1,1,,,,,,,,,,,,,,,32.67,39.725,E
Campeonato 2015,8,Velez Sarsfield,Argentinos Juniors,0,1,,,,,,,,,,,,,,,28.5,12.05,V
Campeonato 2015,9,Belgrano,Arsenal de Sarandi,2,0,,,,,,,,,,,,,,,13.975,27.25,L
Campeonato 2015,10,Aldosivi,Banfield,0,3,,,,,,,,,,,,,,,8.725,22.925,V
Campeonato 2015,11,River Plate,Racing Club,0,0,,,,,,,,,,,,,,,56.25,29.075,E
