Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2018,2018-10-20,Lanus,Patronato,3.0,1.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Julio Barraza
2018,2018-10-20,Boca Juniors,Rosario Central,0.0,0.0,Empate,0.0,0.0,Estadio Alberto José Armando,Facundo Tello
2018,2018-10-20,Newell's Old Boys,Tigre,2.0,0.0,Victoria,1.0,0.0,Estadio Marcelo Alberto Bielsa,Andrés Merlos
2018,2018-10-19,Colon,River Plate,1.0,0.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Pablo Echavarría
2018,2018-10-21,EstudiantesLP,Atle Tucuman,1.0,1.0,Empate,0.0,0.0,Estadio Ciudad de La Plata,Germán Delfino
2018,2018-10-21,Argentinos Juniors,Union,0.0,1.0,Derrota,-1.0,0.0,Estadio Diego Armando Maradona,Silvio Trucco
2018,2018-10-21,Independiente,Huracan,3.0,1.0,Victoria,1.0,0.0,Estadio Libertadores de América,Fernando Echenique
2018,2018-10-21,San Martin (Tucuman),Racing Club,2.0,1.0,Victoria,1.0,0.0,Estadio Eva Perón de San Miguel de Tucum...,Nicolás Lamolina
2018,2018-10-22,Belgrano,Banfield,1.0,1.0,Empate,0.0,0.0,Estadio Julio César Villagra,Fernando Espinoza
2018,2018-10-22,San Lorenzo de Almagro,San Martin SJ,2.0,1.0,Victoria,1.0,0.0,Estadio Pedro Bidegaín,Hernán Mastrángelo
2018,2018-10-24,EstudiantesLP,Newell's Old Boys,1.0,0.0,Victoria,1.0,0.0,Estadio Ciudad de La Plata,Pablo Echavarría
2018,2018-10-26,Tigre,Lanus,1.0,1.0,Empate,0.0,0.0,Estadio José Dellagiovanna,Facundo Tello
2018,2018-10-27,River Plate,Aldosivi,1.0,0.0,Victoria,1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Andrés Merlos
2018,2018-10-27,GimnasiaLP,Boca Juniors,2.0,1.0,Victoria,1.0,0.0,Estadio Juan Carmelo Zerillo,Jorge Baliño
2018,2018-10-27,TalleresC,San Martin (Tucuman),0.0,0.0,Empate,0.0,0.0,Estadio Mario Alberto Kempes,Diego Abal
2018,2018-10-27,Union,Godoy Cruz,0.0,3.0,Derrota,-1.0,0.0,Estadio 15 de Abril,Nazareno Arasa
2018,2018-10-26,Huracan,Colon,3.0,2.0,Victoria,1.0,0.0,Estadio Tomás Adolfo Ducó,Darío Herrera
2018,2018-10-28,Racing Club,San Lorenzo de Almagro,2.0,1.0,Victoria,1.0,0.0,Estadio Presidente Juan Domingo Perón,Fernando Rapallini
2018,2018-10-28,Patronato,Rosario Central,2.0,1.0,Victoria,1.0,0.0,Estadio Presbítero Bartolomé Grella,Nicolás Lamolina
